ip,is_attack,attack_type,injected_events,failed_events,privileged_target_events
203.0.113.57,1,bruteforce_https,49,35,9
198.51.100.7,1,bruteforce_https,46,29,8
198.51.100.152,1,bruteforce_https,44,28,10
203.0.113.9,1,bruteforce_https,43,35,7
198.51.100.36,1,bruteforce_https,41,24,7
203.0.113.151,1,bruteforce_https,38,27,7
198.51.100.184,1,bruteforce_https,38,19,10
198.51.100.174,1,bruteforce_https,34,23,7
198.51.100.144,1,bruteforce_https,34,25,4
203.0.113.63,1,bruteforce_https,33,19,3
198.51.100.60,1,bruteforce_https,32,25,7
198.51.100.24,1,bruteforce_https,31,23,8
192.168.1.32,0,none,17,12,4
172.16.0.9,0,none,16,7,4
10.0.0.171,0,none,15,9,5
192.168.1.192,0,none,14,8,3
10.0.0.11,0,none,14,8,1
203.0.113.154,0,none,13,9,4
198.51.100.206,0,none,12,10,4
198.51.100.15,0,none,12,8,3
203.0.113.4,0,none,11,6,3
192.168.1.65,0,none,10,2,2
192.168.1.51,0,none,10,2,0
192.168.1.24,0,none,10,2,1
192.168.1.191,0,none,10,1,1
192.168.1.161,0,none,10,2,1
172.16.0.74,0,none,10,2,4
172.16.0.244,0,none,10,5,0
10.0.0.182,0,none,10,0,1
10.0.0.177,0,none,10,4,1
198.51.100.102,0,none,9,1,0
192.168.1.236,0,none,9,1,1
192.168.1.12,0,none,9,1,0
192.168.1.118,0,none,9,1,0
172.16.0.84,0,none,9,2,0
172.16.0.227,0,none,9,0,0
172.16.0.225,0,none,9,0,0
172.16.0.215,0,none,9,3,0
172.16.0.129,0,none,9,0,0
10.0.0.92,0,none,9,0,0
10.0.0.46,0,none,9,0,0
10.0.0.230,0,none,9,0,1
198.51.100.35,0,none,8,1,2
198.51.100.203,0,none,8,1,3
192.168.1.71,0,none,8,4,1
192.168.1.36,0,none,8,2,1
192.168.1.234,0,none,8,1,0
192.168.1.229,0,none,8,2,0
192.168.1.20,0,none,8,1,0
192.168.1.188,0,none,8,1,2
192.168.1.184,0,none,8,0,0
192.168.1.155,0,none,8,2,1
192.168.1.148,0,none,8,1,0
192.168.1.132,0,none,8,0,0
192.168.1.122,0,none,8,2,2
172.16.0.96,0,none,8,1,0
172.16.0.72,0,none,8,0,2
172.16.0.55,0,none,8,0,0
172.16.0.43,0,none,8,1,0
172.16.0.28,0,none,8,1,0
172.16.0.26,0,none,8,0,0
172.16.0.240,0,none,8,1,1
172.16.0.226,0,none,8,1,0
172.16.0.208,0,none,8,0,0
172.16.0.175,0,none,8,2,0
172.16.0.165,0,none,8,2,1
172.16.0.161,0,none,8,0,1
172.16.0.124,0,none,8,2,1
10.0.0.57,0,none,8,1,0
10.0.0.56,0,none,8,0,2
10.0.0.43,0,none,8,1,1
10.0.0.4,0,none,8,2,0
10.0.0.228,0,none,8,1,0
10.0.0.226,0,none,8,0,1
10.0.0.212,0,none,8,0,0
10.0.0.170,0,none,8,2,1
10.0.0.146,0,none,8,2,1
10.0.0.139,0,none,8,1,0
10.0.0.123,0,none,8,2,1
10.0.0.12,0,none,8,1,2
203.0.113.94,0,none,7,0,0
203.0.113.24,0,none,7,1,1
203.0.113.164,0,none,7,1,0
203.0.113.157,0,none,7,2,2
198.51.100.239,0,none,7,1,3
198.51.100.104,0,none,7,0,1
192.168.1.92,0,none,7,1,0
192.168.1.7,0,none,7,1,0
192.168.1.62,0,none,7,2,1
192.168.1.6,0,none,7,0,2
192.168.1.57,0,none,7,1,0
192.168.1.39,0,none,7,1,1
192.168.1.33,0,none,7,2,1
192.168.1.26,0,none,7,0,0
192.168.1.244,0,none,7,1,1
192.168.1.231,0,none,7,0,0
192.168.1.207,0,none,7,2,0
192.168.1.181,0,none,7,2,1
192.168.1.165,0,none,7,1,0
192.168.1.157,0,none,7,1,0
192.168.1.156,0,none,7,0,1
192.168.1.154,0,none,7,0,2
192.168.1.123,0,none,7,0,2
192.168.1.115,0,none,7,1,0
192.168.1.114,0,none,7,0,1
192.168.1.101,0,none,7,1,1
192.168.1.10,0,none,7,2,0
172.16.0.94,0,none,7,4,1
172.16.0.83,0,none,7,2,1
172.16.0.71,0,none,7,1,0
172.16.0.62,0,none,7,1,3
172.16.0.58,0,none,7,0,1
172.16.0.35,0,none,7,2,1
172.16.0.25,0,none,7,1,0
172.16.0.213,0,none,7,0,1
172.16.0.198,0,none,7,0,1
172.16.0.186,0,none,7,2,0
172.16.0.179,0,none,7,0,1
172.16.0.167,0,none,7,1,2
172.16.0.157,0,none,7,1,2
172.16.0.143,0,none,7,2,0
172.16.0.136,0,none,7,0,0
172.16.0.126,0,none,7,0,2
172.16.0.114,0,none,7,2,1
172.16.0.106,0,none,7,1,1
172.16.0.105,0,none,7,1,0
172.16.0.10,0,none,7,1,0
10.0.0.88,0,none,7,1,2
10.0.0.7,0,none,7,1,0
10.0.0.67,0,none,7,1,0
10.0.0.55,0,none,7,2,0
10.0.0.49,0,none,7,0,2
10.0.0.27,0,none,7,0,2
10.0.0.229,0,none,7,2,1
10.0.0.207,0,none,7,3,0
10.0.0.206,0,none,7,2,1
10.0.0.202,0,none,7,0,1
10.0.0.2,0,none,7,2,2
10.0.0.198,0,none,7,1,0
10.0.0.194,0,none,7,0,2
10.0.0.175,0,none,7,1,0
10.0.0.157,0,none,7,2,0
10.0.0.156,0,none,7,2,0
10.0.0.132,0,none,7,1,0
10.0.0.128,0,none,7,1,0
10.0.0.119,0,none,7,0,0
10.0.0.116,0,none,7,1,0
10.0.0.105,0,none,7,1,0
10.0.0.100,0,none,7,1,0
203.0.113.89,0,none,6,0,0
203.0.113.81,0,none,6,1,0
203.0.113.34,0,none,6,1,0
203.0.113.200,0,none,6,0,0
203.0.113.166,0,none,6,0,0
203.0.113.144,0,none,6,2,0
203.0.113.143,0,none,6,2,1
203.0.113.128,0,none,6,1,1
203.0.113.125,0,none,6,2,0
203.0.113.12,0,none,6,1,1
198.51.100.37,0,none,6,3,3
198.51.100.242,0,none,6,0,0
198.51.100.187,0,none,6,0,0
192.168.1.95,0,none,6,1,0
192.168.1.93,0,none,6,0,0
192.168.1.91,0,none,6,0,1
192.168.1.86,0,none,6,0,0
192.168.1.83,0,none,6,0,1
192.168.1.8,0,none,6,0,0
192.168.1.78,0,none,6,0,0
192.168.1.76,0,none,6,2,1
192.168.1.73,0,none,6,0,0
192.168.1.48,0,none,6,1,3
192.168.1.34,0,none,6,1,0
192.168.1.3,0,none,6,1,1
192.168.1.254,0,none,6,1,0
192.168.1.246,0,none,6,1,0
192.168.1.221,0,none,6,1,0
192.168.1.190,0,none,6,0,0
192.168.1.187,0,none,6,3,1
192.168.1.179,0,none,6,0,1
192.168.1.170,0,none,6,0,1
192.168.1.169,0,none,6,1,2
192.168.1.153,0,none,6,2,0
192.168.1.145,0,none,6,0,0
192.168.1.138,0,none,6,0,0
192.168.1.131,0,none,6,0,2
192.168.1.13,0,none,6,1,0
192.168.1.126,0,none,6,0,0
192.168.1.125,0,none,6,1,0
192.168.1.107,0,none,6,0,0
192.168.1.100,0,none,6,0,0
192.168.1.1,0,none,6,1,0
172.16.0.65,0,none,6,1,2
172.16.0.39,0,none,6,1,1
172.16.0.38,0,none,6,2,1
172.16.0.3,0,none,6,1,1
172.16.0.249,0,none,6,0,1
172.16.0.248,0,none,6,2,0
172.16.0.247,0,none,6,1,0
172.16.0.242,0,none,6,1,0
172.16.0.232,0,none,6,0,2
172.16.0.231,0,none,6,1,0
172.16.0.224,0,none,6,2,0
172.16.0.220,0,none,6,0,0
172.16.0.22,0,none,6,0,0
172.16.0.217,0,none,6,2,0
172.16.0.19,0,none,6,0,1
172.16.0.180,0,none,6,0,1
172.16.0.169,0,none,6,1,0
172.16.0.166,0,none,6,1,1
172.16.0.16,0,none,6,0,0
172.16.0.158,0,none,6,1,0
172.16.0.152,0,none,6,0,0
172.16.0.135,0,none,6,0,1
172.16.0.130,0,none,6,0,0
172.16.0.118,0,none,6,0,1
10.0.0.98,0,none,6,1,1
10.0.0.86,0,none,6,2,1
10.0.0.85,0,none,6,1,1
10.0.0.83,0,none,6,0,0
10.0.0.8,0,none,6,0,0
10.0.0.71,0,none,6,1,0
10.0.0.60,0,none,6,1,0
10.0.0.44,0,none,6,0,0
10.0.0.37,0,none,6,0,0
10.0.0.30,0,none,6,2,1
10.0.0.29,0,none,6,0,0
10.0.0.250,0,none,6,0,0
10.0.0.25,0,none,6,0,0
10.0.0.222,0,none,6,2,0
10.0.0.221,0,none,6,2,2
10.0.0.21,0,none,6,0,0
10.0.0.185,0,none,6,0,0
10.0.0.179,0,none,6,2,1
10.0.0.178,0,none,6,0,0
10.0.0.154,0,none,6,0,0
10.0.0.142,0,none,6,0,0
10.0.0.141,0,none,6,1,1
10.0.0.127,0,none,6,3,0
10.0.0.115,0,none,6,0,0
10.0.0.113,0,none,6,1,0
10.0.0.104,0,none,6,1,0
10.0.0.10,0,none,6,0,0
203.0.113.97,0,none,5,1,1
203.0.113.37,0,none,5,0,0
203.0.113.25,0,none,5,0,0
203.0.113.249,0,none,5,2,1
203.0.113.224,0,none,5,0,0
203.0.113.207,0,none,5,0,0
203.0.113.192,0,none,5,2,1
203.0.113.180,0,none,5,2,0
203.0.113.178,0,none,5,1,0
203.0.113.176,0,none,5,1,0
203.0.113.175,0,none,5,1,0
203.0.113.156,0,none,5,1,1
203.0.113.119,0,none,5,2,1
198.51.100.96,0,none,5,0,1
198.51.100.91,0,none,5,0,0
198.51.100.88,0,none,5,0,0
198.51.100.83,0,none,5,1,0
198.51.100.81,0,none,5,1,0
198.51.100.59,0,none,5,0,1
198.51.100.50,0,none,5,0,0
198.51.100.33,0,none,5,2,0
198.51.100.246,0,none,5,0,1
198.51.100.221,0,none,5,1,0
198.51.100.209,0,none,5,1,1
198.51.100.207,0,none,5,3,2
198.51.100.194,0,none,5,1,0
198.51.100.171,0,none,5,1,0
198.51.100.154,0,none,5,0,0
198.51.100.143,0,none,5,1,1
198.51.100.141,0,none,5,1,0
198.51.100.113,0,none,5,1,0
198.51.100.109,0,none,5,1,0
198.51.100.105,0,none,5,0,1
192.168.1.89,0,none,5,0,0
192.168.1.85,0,none,5,1,0
192.168.1.75,0,none,5,1,1
192.168.1.66,0,none,5,2,1
192.168.1.60,0,none,5,2,0
192.168.1.56,0,none,5,0,0
192.168.1.53,0,none,5,1,0
192.168.1.49,0,none,5,0,0
192.168.1.46,0,none,5,1,0
192.168.1.37,0,none,5,1,1
192.168.1.30,0,none,5,1,0
192.168.1.28,0,none,5,2,0
192.168.1.27,0,none,5,0,0
192.168.1.250,0,none,5,1,1
192.168.1.245,0,none,5,0,0
192.168.1.238,0,none,5,0,0
192.168.1.226,0,none,5,1,1
192.168.1.225,0,none,5,2,2
