ip,total_events,failed_logins,privileged_attempts,external_events,suspicious_events,risk_score,risk_level
203.0.113.57,49,33,9,49,33,166,high
203.0.113.9,43,35,7,43,35,162,high
198.51.100.7,46,26,8,46,26,140,high
198.51.100.152,44,25,10,44,25,139,high
203.0.113.151,38,26,7,38,26,130,high
198.51.100.36,41,22,7,41,22,121,high
198.51.100.60,32,23,7,32,23,115,high
198.51.100.174,34,22,7,34,22,114,high
198.51.100.24,31,22,8,31,22,113,high
198.51.100.184,38,16,10,38,16,106,high
198.51.100.144,34,19,4,34,19,99,high
203.0.113.63,33,18,3,33,18,93,high
198.51.100.206,12,10,4,12,10,50,high
203.0.113.154,13,9,4,13,9,48,high
198.51.100.15,12,8,3,12,8,42,high
203.0.113.4,11,6,3,11,6,35,high
10.0.0.171,15,9,5,0,5,29,high
192.168.1.32,17,12,4,0,3,26,high
172.16.0.9,16,7,4,0,2,19,medium
198.51.100.207,5,3,2,5,3,18,medium
192.168.1.192,14,8,3,0,2,18,medium
198.51.100.37,6,2,3,6,2,18,medium
203.0.113.157,7,2,2,7,2,17,medium
198.51.100.203,8,1,3,8,1,17,medium
198.51.100.239,7,1,3,7,1,16,medium
198.51.100.35,8,1,2,8,1,15,medium
203.0.113.143,6,2,1,6,2,14,medium
198.51.100.68,3,2,2,3,2,13,medium
203.0.113.119,5,2,1,5,2,13,medium
203.0.113.192,5,2,1,5,2,13,medium
203.0.113.249,5,2,1,5,2,13,medium
198.51.100.100,4,2,1,4,2,12,medium
198.51.100.139,4,2,1,4,2,12,medium
203.0.113.125,6,2,0,6,2,12,medium
203.0.113.144,6,2,0,6,2,12,medium
10.0.0.11,14,8,1,0,1,12,medium
172.16.0.74,10,2,4,0,1,12,medium
198.51.100.102,9,1,0,9,1,12,medium
203.0.113.24,7,1,1,7,1,12,medium
10.0.0.199,4,3,2,0,2,11,medium
198.51.100.18,3,2,1,3,2,11,medium
198.51.100.30,3,2,1,3,2,11,medium
198.51.100.33,5,2,0,5,2,11,medium
203.0.113.180,5,2,0,5,2,11,medium
198.51.100.110,4,1,2,4,1,11,medium
203.0.113.12,6,1,1,6,1,11,medium
203.0.113.128,6,1,1,6,1,11,medium
203.0.113.2,4,1,2,4,1,11,medium
198.51.100.16,4,2,0,4,2,10,medium
203.0.113.98,4,2,0,4,2,10,medium
198.51.100.143,5,1,1,5,1,10,medium
198.51.100.209,5,1,1,5,1,10,medium
198.51.100.79,3,1,2,3,1,10,medium
203.0.113.156,5,1,1,5,1,10,medium
203.0.113.164,7,1,0,7,1,10,medium
203.0.113.97,5,1,1,5,1,10,medium
198.51.100.72,3,2,0,3,2,9,medium
203.0.113.206,3,2,0,3,2,9,medium
192.168.1.48,6,1,3,0,1,9,medium
198.51.100.177,4,1,1,4,1,9,medium
198.51.100.20,4,1,1,4,1,9,medium
203.0.113.129,4,1,1,4,1,9,medium
203.0.113.158,4,1,1,4,1,9,medium
203.0.113.33,4,1,1,4,1,9,medium
