threshold,tn,fp,fn,tp,precision,recall,f1,cost
0.0,0,361,0,4,0.011,1.0,0.0217,361
0.01,361,0,0,4,1.0,1.0,1.0,0
0.02,361,0,0,4,1.0,1.0,1.0,0
0.03,361,0,0,4,1.0,1.0,1.0,0
0.04,361,0,0,4,1.0,1.0,1.0,0
0.05,361,0,0,4,1.0,1.0,1.0,0
0.06,361,0,0,4,1.0,1.0,1.0,0
0.07,361,0,0,4,1.0,1.0,1.0,0
0.08,361,0,0,4,1.0,1.0,1.0,0
0.09,361,0,0,4,1.0,1.0,1.0,0
0.1,361,0,0,4,1.0,1.0,1.0,0
0.11,361,0,0,4,1.0,1.0,1.0,0
0.12,361,0,0,4,1.0,1.0,1.0,0
0.13,361,0,0,4,1.0,1.0,1.0,0
0.14,361,0,0,4,1.0,1.0,1.0,0
0.15,361,0,0,4,1.0,1.0,1.0,0
0.16,361,0,0,4,1.0,1.0,1.0,0
0.17,361,0,0,4,1.0,1.0,1.0,0
0.18,361,0,0,4,1.0,1.0,1.0,0
0.19,361,0,0,4,1.0,1.0,1.0,0
0.2,361,0,0,4,1.0,1.0,1.0,0
0.21,361,0,0,4,1.0,1.0,1.0,0
0.22,361,0,0,4,1.0,1.0,1.0,0
0.23,361,0,0,4,1.0,1.0,1.0,0
0.24,361,0,0,4,1.0,1.0,1.0,0
0.25,361,0,0,4,1.0,1.0,1.0,0
0.26,361,0,0,4,1.0,1.0,1.0,0
0.27,361,0,0,4,1.0,1.0,1.0,0
0.28,361,0,0,4,1.0,1.0,1.0,0
0.29,361,0,0,4,1.0,1.0,1.0,0
0.3,361,0,0,4,1.0,1.0,1.0,0
0.31,361,0,0,4,1.0,1.0,1.0,0
0.32,361,0,0,4,1.0,1.0,1.0,0
0.33,361,0,0,4,1.0,1.0,1.0,0
0.34,361,0,0,4,1.0,1.0,1.0,0
0.35,361,0,0,4,1.0,1.0,1.0,0
0.36,361,0,0,4,1.0,1.0,1.0,0
0.37,361,0,0,4,1.0,1.0,1.0,0
0.38,361,0,0,4,1.0,1.0,1.0,0
0.39,361,0,0,4,1.0,1.0,1.0,0
0.4,361,0,0,4,1.0,1.0,1.0,0
0.41,361,0,0,4,1.0,1.0,1.0,0
0.42,361,0,0,4,1.0,1.0,1.0,0
0.43,361,0,0,4,1.0,1.0,1.0,0
0.44,361,0,0,4,1.0,1.0,1.0,0
0.45,361,0,0,4,1.0,1.0,1.0,0
0.46,361,0,0,4,1.0,1.0,1.0,0
0.47,361,0,0,4,1.0,1.0,1.0,0
0.48,361,0,0,4,1.0,1.0,1.0,0
0.49,361,0,0,4,1.0,1.0,1.0,0
0.5,361,0,0,4,1.0,1.0,1.0,0
0.51,361,0,0,4,1.0,1.0,1.0,0
0.52,361,0,0,4,1.0,1.0,1.0,0
0.53,361,0,0,4,1.0,1.0,1.0,0
0.54,361,0,0,4,1.0,1.0,1.0,0
0.55,361,0,0,4,1.0,1.0,1.0,0
0.56,361,0,0,4,1.0,1.0,1.0,0
0.57,361,0,0,4,1.0,1.0,1.0,0
0.58,361,0,0,4,1.0,1.0,1.0,0
0.59,361,0,0,4,1.0,1.0,1.0,0
0.6,361,0,0,4,1.0,1.0,1.0,0
0.61,361,0,0,4,1.0,1.0,1.0,0
0.62,361,0,0,4,1.0,1.0,1.0,0
0.63,361,0,0,4,1.0,1.0,1.0,0
0.64,361,0,0,4,1.0,1.0,1.0,0
0.65,361,0,0,4,1.0,1.0,1.0,0
0.66,361,0,0,4,1.0,1.0,1.0,0
0.67,361,0,0,4,1.0,1.0,1.0,0
0.68,361,0,0,4,1.0,1.0,1.0,0
0.69,361,0,0,4,1.0,1.0,1.0,0
0.7,361,0,0,4,1.0,1.0,1.0,0
0.71,361,0,0,4,1.0,1.0,1.0,0
0.72,361,0,0,4,1.0,1.0,1.0,0
0.73,361,0,0,4,1.0,1.0,1.0,0
0.74,361,0,0,4,1.0,1.0,1.0,0
0.75,361,0,0,4,1.0,1.0,1.0,0
0.76,361,0,0,4,1.0,1.0,1.0,0
0.77,361,0,0,4,1.0,1.0,1.0,0
0.78,361,0,0,4,1.0,1.0,1.0,0
0.79,361,0,0,4,1.0,1.0,1.0,0
0.8,361,0,0,4,1.0,1.0,1.0,0
0.81,361,0,0,4,1.0,1.0,1.0,0
0.82,361,0,0,4,1.0,1.0,1.0,0
0.83,361,0,0,4,1.0,1.0,1.0,0
0.84,361,0,0,4,1.0,1.0,1.0,0
0.85,361,0,0,4,1.0,1.0,1.0,0
0.86,361,0,0,4,1.0,1.0,1.0,0
0.87,361,0,0,4,1.0,1.0,1.0,0
0.88,361,0,0,4,1.0,1.0,1.0,0
0.89,361,0,0,4,1.0,1.0,1.0,0
0.9,361,0,0,4,1.0,1.0,1.0,0
0.91,361,0,0,4,1.0,1.0,1.0,0
0.92,361,0,0,4,1.0,1.0,1.0,0
0.93,361,0,0,4,1.0,1.0,1.0,0
0.94,361,0,0,4,1.0,1.0,1.0,0
0.95,361,0,0,4,1.0,1.0,1.0,0
0.96,361,0,0,4,1.0,1.0,1.0,0
0.97,361,0,0,4,1.0,1.0,1.0,0
0.98,361,0,0,4,1.0,1.0,1.0,0
0.99,361,0,0,4,1.0,1.0,1.0,0
1.0,361,0,4,0,0.0,0.0,0.0,100
